Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-7.973,54.211,-32.004,-1.848,-0.144,-0.866,    ,848.731,-64.797,299.670,-129.213,-0.098,-2.170
-6.717,53.534,-31.347,-1.966,-0.092,-0.679,    ,848.731,-64.797,299.670,-130.144,-0.133,-2.169
-7.551,52.063,-29.611,-2.082,-0.081,-0.676,    ,848.731,-64.797,299.670,-130.609,-0.151,-2.167
-7.561,51.387,-28.386,-2.077,0.050,-0.763,    ,848.731,-64.797,299.669,-131.556,-0.186,-2.165
-6.345,51.416,-27.199,-2.016,-0.011,-0.689,    ,848.731,-64.798,299.669,-132.486,-0.222,-2.161
-7.168,51.053,-26.650,-2.163,0.095,-0.704,    ,848.731,-64.798,299.669,-133.333,-0.253,-2.158
-6.698,50.612,-26.042,-2.128,0.100,-0.730,    ,848.731,-64.798,299.669,-134.264,-0.288,-2.153
-7.090,48.778,-26.493,-2.091,0.017,-0.655,    ,848.731,-64.798,299.669,-135.211,-0.324,-2.148
-7.247,48.700,-24.943,-2.131,0.156,-0.729,    ,848.731,-64.798,299.669,-136.158,-0.359,-2.143
-7.953,48.229,-23.610,-2.177,0.137,-0.731,    ,848.731,-64.798,299.669,-137.088,-0.394,-2.136
-7.727,46.895,-22.923,-2.146,0.126,-0.719,    ,848.731,-64.798,299.669,-137.537,-0.411,-2.133
-7.953,46.807,-22.325,-2.274,0.219,-0.704,    ,848.731,-64.798,299.669,-138.484,-0.446,-2.126
-7.865,45.336,-22.119,-2.250,0.198,-0.596,    ,848.731,-64.798,299.668,-139.331,-0.478,-2.119
-7.570,44.934,-21.276,-2.232,0.275,-0.622,    ,848.730,-64.798,299.668,-140.178,-0.509,-2.112
-8.012,44.120,-19.903,-2.318,0.294,-0.621,    ,848.730,-64.798,299.668,-141.026,-0.540,-2.104
-7.924,43.306,-18.746,-2.284,0.354,-0.680,    ,848.730,-64.798,299.668,-141.956,-0.574,-2.095
-8.463,42.786,-18.795,-2.249,0.283,-0.659,    ,848.730,-64.798,299.668,-142.870,-0.607,-2.086
-8.443,41.296,-19.128,-2.236,0.281,-0.646,    ,848.730,-64.799,299.668,-143.800,-0.641,-2.076
-8.904,41.237,-18.687,-2.330,0.323,-0.632,    ,848.730,-64.799,299.668,-144.714,-0.674,-2.065
-8.100,40.619,-16.833,-2.339,0.428,-0.678,    ,848.730,-64.799,299.668,-145.562,-0.705,-2.055
-9.120,39.433,-15.323,-2.403,0.368,-0.607,    ,848.730,-64.799,299.668,-146.692,-0.745,-2.041
-8.532,38.422,-15.774,-2.313,0.433,-0.576,    ,848.730,-64.799,299.668,-147.090,-0.759,-2.035
