Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz,,
-1.442,-47.592,40.061,2.722,-0.472,1.379,    ,848.697,-64.726,330.714,128.619,-1.236,-179.991,,129,47.592,38.985,,74.061
-0.412,-46.552,42.365,2.499,-0.391,1.321,    ,848.697,-64.726,330.714,129.217,-1.236,179.996,,129,46.552,41.289,,76.365
-2.118,-46.523,42.865,2.547,-0.495,1.281,    ,848.697,-64.726,330.713,130.393,-1.236,179.971,,130,46.523,41.789,,76.865
-0.883,-45.768,43.032,2.385,-0.378,1.414,    ,848.697,-64.726,330.713,131.612,-1.235,179.945,,132,45.768,41.956,,77.032
-2.216,-44.944,43.973,2.392,-0.435,1.243,    ,848.696,-64.727,330.712,132.83,-1.233,179.919,,133,44.944,42.897,,77.973
-1.912,-43.944,45.513,2.288,-0.377,1.192,    ,848.696,-64.727,330.712,133.942,-1.232,179.895,,134,43.944,44.437,,79.513
-1.187,-43.247,47.641,2.108,-0.318,1.245,    ,848.696,-64.727,330.712,135.14,-1.229,179.869,,135,43.247,46.565,,81.641
-1.922,-42.659,46.915,2.084,-0.35,1.168,    ,848.696,-64.727,330.712,136.358,-1.226,179.843,,136,42.659,45.839,,80.915
-0.912,-41.894,47.425,1.978,-0.345,1.295,    ,848.696,-64.727,330.711,137.491,-1.223,179.819,,137,41.894,46.349,,81.425
-0.559,-40.433,48.367,2.008,-0.238,1.157,    ,848.696,-64.728,330.711,138.069,-1.221,179.806,,138,40.433,47.291,,82.367
-1.206,-40.256,50.112,1.887,-0.302,1.107,    ,848.695,-64.728,330.711,139.287,-1.217,179.781,,139,40.256,49.036,,84.112
-1.03,-38.825,50.691,1.828,-0.257,1.096,    ,848.695,-64.728,330.711,140.506,-1.212,179.755,,141,38.825,49.615,,84.691
-0.951,-38.207,51.113,1.605,-0.197,1.134,    ,848.695,-64.728,330.71,141.639,-1.207,179.731,,142,38.207,50.037,,85.113
-1.608,-37.02,52.76,1.541,-0.183,0.975,    ,848.695,-64.729,330.71,142.836,-1.201,179.706,,143,37.02,51.684,,86.76
-0.078,-35.579,54.682,1.456,-0.145,1.034,    ,848.695,-64.729,330.71,144.055,-1.194,179.68,,144,35.579,53.606,,88.682
-0.716,-35.225,54.525,1.405,-0.089,0.978,    ,848.694,-64.729,330.709,145.295,-1.187,179.655,,145,35.225,53.449,,88.525
-0.598,-34.294,54.182,1.259,-0.031,1.01,    ,848.694,-64.729,330.709,145.894,-1.183,179.642,,146,34.294,53.106,,88.182
-0.824,-33.588,55.604,1.224,-0.044,0.915,    ,848.694,-64.73,330.709,147.582,-1.172,179.607,,148,33.588,54.528,,89.604
-0.726,-32.803,56.879,1.171,-0.05,0.892,    ,848.694,-64.73,330.709,148.096,-1.169,179.597,,148,32.803,55.803,,90.879
-1.079,-30.832,56.006,1.086,-0.111,0.839,    ,848.694,-64.73,330.709,149.314,-1.16,179.572,,149,30.832,54.93,,90.006
-0.647,-29.969,56.438,1.066,-0.134,0.83,    ,848.693,-64.73,330.709,150.511,-1.151,179.548,,151,29.969,55.362,,90.438
-0.736,-29.753,57.909,0.968,-0.059,0.834,    ,848.693,-64.731,330.708,151.73,-1.141,179.524,,152,29.753,56.833,,91.909
-1.706,-29.322,60.027,0.869,0.014,0.604,    ,848.693,-64.731,330.708,152.713,-1.133,179.504,,153,29.322,58.951,,94.027
-0.834,-27.272,59.046,0.789,0.002,0.731,    ,848.693,-64.731,330.708,153.804,-1.123,179.483,,154,27.272,57.97,,93.046
-1.226,-25.948,59.693,0.642,0.057,0.577,    ,848.693,-64.732,330.708,154.894,-1.113,179.462,,155,25.948,58.617,,93.693
-1.559,-25.399,61.674,0.604,0.038,0.498,    ,848.692,-64.732,330.708,156.091,-1.102,179.439,,156,25.399,60.598,,95.674
-0.863,-23.909,60.988,0.533,0.035,0.533,    ,848.692,-64.732,330.707,157.331,-1.089,179.415,,157,23.909,59.912,,94.988
-1.04,-22.899,60.89,0.461,0.02,0.605,    ,848.692,-64.732,330.707,158.4,-1.078,179.395,,158,22.899,59.814,,94.89
-0.304,-21.977,62.841,0.377,0.126,0.541,    ,848.692,-64.733,330.707,159.618,-1.065,179.372,,160,21.977,61.765,,96.841
