Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
-1.922,-42.659,12.915,2.084,-0.35,1.168,    ,848.696,-64.727,330.712,136.358,-1.226,179.843,,136,42.659,45.839
-0.912,-41.894,13.425,1.978,-0.345,1.295,    ,848.696,-64.727,330.711,137.491,-1.223,179.819,,137,41.894,46.349
-0.559,-40.433,14.367,2.008,-0.238,1.157,    ,848.696,-64.728,330.711,138.069,-1.221,179.806,,138,40.433,47.291
-1.206,-40.256,16.112,1.887,-0.302,1.107,    ,848.695,-64.728,330.711,139.287,-1.217,179.781,,139,40.256,49.036
-1.03,-38.825,16.691,1.828,-0.257,1.096,    ,848.695,-64.728,330.711,140.506,-1.212,179.755,,141,38.825,49.615
-0.951,-38.207,17.113,1.605,-0.197,1.134,    ,848.695,-64.728,330.71,141.639,-1.207,179.731,,142,38.207,50.037
-1.608,-37.02,18.76,1.541,-0.183,0.975,    ,848.695,-64.729,330.71,142.836,-1.201,179.706,,143,37.02,51.684
-0.078,-35.579,20.682,1.456,-0.145,1.034,    ,848.695,-64.729,330.71,144.055,-1.194,179.68,,144,35.579,53.606
-0.716,-35.225,20.525,1.405,-0.089,0.978,    ,848.694,-64.729,330.709,145.295,-1.187,179.655,,145,35.225,53.449
-0.598,-34.294,20.182,1.259,-0.031,1.01,    ,848.694,-64.729,330.709,145.894,-1.183,179.642,,146,34.294,53.106
-0.824,-33.588,21.604,1.224,-0.044,0.915,    ,848.694,-64.73,330.709,147.582,-1.172,179.607,,148,33.588,54.528
-0.726,-32.803,22.879,1.171,-0.05,0.892,    ,848.694,-64.73,330.709,148.096,-1.169,179.597,,148,32.803,55.803
-1.079,-30.832,22.006,1.086,-0.111,0.839,    ,848.694,-64.73,330.709,149.314,-1.16,179.572,,149,30.832,54.93
-0.647,-29.969,22.438,1.066,-0.134,0.83,    ,848.693,-64.73,330.709,150.511,-1.151,179.548,,151,29.969,55.362
-0.736,-29.753,23.909,0.968,-0.059,0.834,    ,848.693,-64.731,330.708,151.73,-1.141,179.524,,152,29.753,56.833
-1.706,-29.322,26.027,0.869,0.014,0.604,    ,848.693,-64.731,330.708,152.713,-1.133,179.504,,153,29.322,58.951
-0.834,-27.272,25.046,0.789,0.002,0.731,    ,848.693,-64.731,330.708,153.804,-1.123,179.483,,154,27.272,57.97
-1.226,-25.948,25.693,0.642,0.057,0.577,    ,848.693,-64.732,330.708,154.894,-1.113,179.462,,155,25.948,58.617
-1.559,-25.399,27.674,0.604,0.038,0.498,    ,848.692,-64.732,330.708,156.091,-1.102,179.439,,156,25.399,60.598
