Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
37.775,-21.967,-2.265,1.832,1.204,2.798,    ,1089.250,-72.846,434.955,150.808,39.341,135.789
39.786,-19.064,-2.148,1.674,1.307,2.815,    ,1089.250,-72.846,434.955,153.560,41.059,140.050
41.463,-16.210,-3.423,1.606,1.314,2.868,    ,1089.250,-72.846,434.955,157.339,42.976,145.693
42.835,-12.817,-3.511,1.409,1.341,2.858,    ,1089.250,-72.846,434.955,160.586,44.286,150.398
43.914,-10.268,-2.216,1.274,1.401,2.851,    ,1089.250,-72.846,434.955,164.766,45.593,156.312
44.797,-7.296,-1.716,1.053,1.461,2.822,    ,1089.250,-72.846,434.955,168.478,46.446,161.468
45.307,-4.393,-1.353,0.910,1.507,2.800,    ,1089.250,-72.846,434.955,173.192,47.160,167.931
45.777,-0.804,-0.912,0.751,1.539,2.691,    ,1089.250,-72.846,434.955,177.170,47.470,173.342
46.072,2.187,-3.099,0.674,1.480,2.685,    ,1089.250,-72.846,434.955,-178.009,47.502,179.878
45.826,5.403,-1.304,0.451,1.505,2.546,    ,1089.250,-72.846,434.955,-174.087,47.253,-174.793
45.522,8.228,-0.569,0.298,1.532,2.459,    ,1089.250,-72.846,434.955,-169.341,46.606,-168.300
45.140,11.935,-0.167,0.140,1.492,2.372,    ,1089.250,-72.846,434.955,-165.592,45.807,-163.108
44.385,15.043,0.186,-0.010,1.470,2.170,    ,1089.250,-72.846,434.955,-161.359,44.558,-157.144
43.267,17.681,0.265,-0.198,1.429,2.105,    ,1089.250,-72.846,434.955,-158.062,43.292,-152.392
41.904,20.231,0.569,-0.340,1.391,1.905,    ,1089.250,-72.846,434.955,-154.369,41.510,-146.919
40.335,23.507,0.098,-0.472,1.327,1.813,    ,1089.250,-72.846,434.955,-151.575,39.851,-142.634
39.040,25.890,2.246,-0.617,1.272,1.595,    ,1089.250,-72.846,434.955,-148.503,37.644,-137.728
36.706,28.910,2.118,-0.764,1.179,1.480,    ,1089.250,-72.846,434.955,-146.196,35.658,-133.866
34.490,31.401,2.667,-0.895,1.112,1.235,    ,1089.250,-72.846,434.955,-143.720,33.121,-129.484
32.460,33.470,1.275,-1.010,0.998,1.106,    ,1089.250,-72.846,434.955,-141.902,30.915,-126.057
30.008,35.118,1.520,-1.123,0.938,0.954,    ,1089.250,-72.846,434.955,-139.907,28.048,-122.006
27.174,37.422,2.481,-1.249,0.794,0.682,    ,1089.250,-72.846,434.955,-138.508,25.664,-118.910
24.595,38.883,3.422,-1.348,0.739,0.514,    ,1089.250,-72.846,434.955,-137.039,22.695,-115.326
21.457,40.727,4.501,-1.460,0.602,0.264,    ,1089.250,-72.846,434.955,-135.991,20.162,-112.458
18.780,41.845,3.815,-1.530,0.473,0.161,    ,1089.250,-72.846,434.955,-135.050,17.448,-109.539
16.024,43.365,3.972,-1.587,0.306,-0.037,    ,1089.250,-72.846,434.955,-134.173,14.327,-106.339
12.866,44.405,3.432,-1.609,0.171,-0.292,    ,1089.250,-72.846,434.955,-133.486,11.163,-103.226
9.738,45.022,4.580,-1.724,0.074,-0.470,    ,1089.250,-72.846,434.955,-133.046,8.460,-100.645
6.345,44.924,6.973,-1.867,0.010,-0.655,    ,1089.250,-72.846,434.955,-132.687,5.246,-97.641
2.932,44.689,6.933,-1.970,-0.087,-0.777,    ,1089.250,-72.846,434.955,-132.517,2.513,-95.123
-0.186,44.885,5.747,-2.013,-0.193,-0.887,    ,1089.250,-72.846,434.955,-132.470,-0.673,-92.205
