Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
0.265,-61.056,-32.260,5.692,-1.513,1.773,    ,848.719,-64.810,296.055,91.729,-1.349,1.701
0.137,-59.458,-30.956,5.529,-1.445,1.759,    ,848.719,-64.810,296.055,92.576,-1.374,1.681
-0.471,-59.134,-28.985,5.526,-1.458,1.587,    ,848.719,-64.810,296.055,93.474,-1.400,1.659
0.255,-59.732,-27.632,5.434,-1.335,1.647,    ,848.719,-64.810,296.055,94.322,-1.424,1.638
0.392,-60.409,-26.249,5.280,-1.401,1.887,    ,848.719,-64.810,296.055,95.219,-1.450,1.616
-0.775,-59.262,-25.572,5.124,-1.422,1.756,    ,848.719,-64.810,296.055,95.701,-1.463,1.603
0.098,-59.870,-24.945,5.156,-1.496,1.968,    ,848.718,-64.810,296.054,96.632,-1.489,1.579
0.069,-59.340,-23.552,5.044,-1.444,2.019,    ,848.719,-64.810,296.054,97.563,-1.515,1.555
0.167,-59.928,-22.336,4.884,-1.315,1.950,    ,848.718,-64.810,296.054,98.511,-1.540,1.530
0.451,-60.027,-20.100,4.940,-1.276,1.763,    ,848.718,-64.810,296.054,99.442,-1.565,1.504
1.089,-60.311,-20.287,4.863,-1.304,2.017,    ,848.718,-64.810,296.054,100.373,-1.589,1.479
-0.696,-59.497,-19.267,4.808,-1.384,1.835,    ,848.718,-64.810,296.053,101.221,-1.611,1.455
-0.696,-59.016,-18.884,4.786,-1.317,1.752,    ,848.718,-64.810,296.053,102.119,-1.633,1.430
-0.177,-58.830,-17.600,4.672,-1.126,1.734,    ,848.718,-64.810,296.053,102.584,-1.645,1.416
-0.451,-58.408,-17.021,4.589,-1.099,1.670,    ,848.718,-64.810,296.053,103.482,-1.667,1.390
0.176,-58.301,-15.628,4.613,-1.173,1.788,    ,848.718,-64.810,296.053,104.397,-1.689,1.364
0.804,-59.271,-13.069,4.358,-1.028,1.845,    ,848.718,-64.810,296.053,105.345,-1.711,1.336
0.735,-58.752,-12.225,4.247,-1.090,1.775,    ,848.718,-64.810,296.053,106.242,-1.732,1.309
-0.402,-57.742,-11.274,4.193,-1.068,1.719,    ,848.718,-64.810,296.052,107.174,-1.753,1.280
-0.804,-57.820,-11.598,4.059,-1.106,1.929,    ,848.718,-64.810,296.052,108.105,-1.773,1.252
-0.843,-56.986,-11.186,4.095,-1.060,1.655,    ,848.718,-64.810,296.052,108.886,-1.790,1.227
0.706,-57.928,-8.578,3.894,-0.865,1.854,    ,848.718,-64.810,296.052,109.718,-1.808,1.201
